Module Code,Title
EL4205,The Discourse of Argumentation
EL4216,Lexicology and Lexicography
EL4221,Narrative Structures
EL4252,Interactional Discourse
EL4253,"Language, Gender, and Text"
EL4254,"Language, Ideology and Power"
EL4255,English as a World Language
EL4880,Topics in English Language
EL4880B,Exploring Second Language Writing
EN1101E,An Introduction to Literary Studies
EN2111,Reading British/World Texts
EN2112,Reading American Texts
EN2113,Reading Film and Cultural Texts
EN2204,Reading the Horror Film
EN3221,The English Renaissance
EN3222,The Eighteenth Century
EN3223,Nineteenth Century Literature & Culture
EN3224,The Twentieth Century
EN3225,Late Medieval Literature and Culture
EN3227,Romanticism
EN3228,Women Novelists: 1750-1800
EN3229,Shakespeare in His Time and Ours
EN3231,American Literature I
EN3232,American Literature II
EN3234,Asian American Literature
EN3241,Literature and Psychoanalysis
EN3242,History of Film
EN3243,S/F: Science Fiction and Fantasy
EN3244,Gender and Literature
EN3245,Feminism: Text & Theory
EN3246,Literature and the other Arts
EN3248,Topics in Film: The American Comedy
EN3249,"Introduction to Visual Culture: Art, Film and Media"
EN3261,European Literature I
EN3262,Postcolonial Literatures in English
EN3262,Postcolonial/Postmodern Writing
EN3264,In Other Wor(l)ds: Post -colonial Theory & Literature
EN3265,South Asian Literatures in English
EN3266,Contemporary Irish Poetry
EN3268,Tragedy
EN3269,Southeast Asian Literature in English
EN3269,Southeast Asian Literatures in English
EN3271,Advanced Playwriting
EN3274,Critical Reading
EN4221,Topics in the Seventeenth Century
EN4222,Topics in the Eighteenth Century
EN4223,Topics in the Nineteenth Century
EN4224,Topics in the Twentieth Century
EN4225,Asia and the Victorians
EN4226,English Women Novelists 1800-1900
EN4231,U.S. at War and Peace: Cold War Texts
EN4232,Topics in American Literature
EN4234,Pynchon and the Poetics of Information
EN4241,Utopias and Dystopias
EN4242,Modern Critical Theory
EN4261,Metafictions and the Novel
EN4263,Topics in European Literature
EN4271,Research Workshop
EN4880A,"Usurpation and Authority, 1558-1674"
EN4880B,Modernism and Empire
EN4880D,Topics in American Minority Literature
ES1000,Basic English
ES1101,English For Academic Purposes (SDE)
ES1102,English for Academic Purposes
ES1201G,Messing with Nature: Unintended Consequences
ES1201L,Language and Migration
ES1301,English For Academic Purposes (Science)
ES1501A,Public Persona and Self-presentations
ES1501B,From Kodak to Instagram: How Images Tell Lies
ES1531,Critical Thinking And Writing
ES2002,Business Communication
ES2007S,Professional Communication
ESE1001,Environmental Engineering Fundamentals
ESE2001,Environmental Processes
ESE2401,Water Science & Technology
ESE3001,Water Quality Engineering
ESE3101,Solid And Hazardous Waste Management
ESE3201,Air Quality Management
ESE3301,Environmental Microbiological Principles
ESE3401,Water & Wastewater Engineering 1
ESE4301,Wastewater Biotechnology
ESE4401,Water & Wastewater Engineering 2
ESE4403,Membrane Tech In Env Applns
ESE4404,Bioenergy
ESE4405,Urban Water Engineering & Management
ESE4406,Energy and the Environment
ESE4407,Environmental Forensics
ESE4408,Environmental Impact Assessment
ESE4409,Environmental Applications of Adsorption
ESE4501,Design Project
ESE4502,B.Eng. Dissertation
ESE5002,Environmental Engineering 1
ESE5203,Aerosol Science & Technology
ESE5204,Toxic and Hazardous Waste Management
ESE5301,Environmental Biological Principles
ESE5401,Water Quality Management
ESE5402,INDUSTRIAL WASTEWATER CONTROL
ESE5404,Biological Treatment Processes
ESE5405,Water Treatment Processes
ESE5406,Membrane Treatment Process Modelling
ESE5407,Membrane Technology for Water Management
ESE5601,Environmental Risk Assessment
ESE5602,Environmental Management Systems
ET1000,English For Academic Purposes (Comp)
EU1101E,Making of Modern Europe
EU2203,Ancient Western Political Thought
EU2204,Modern Western Political Thought
EU2213,Upheaval in Europe: 1848-1918
EU2214,Introduction to Continental Philosophy
EU2217,European Politics
EU2219,"Why History? The 20th Century, 1914-1989"
EU2221,"Empires, Colonies and Imperialism"
EU2222,Critical Theory and Hermeneutics
EU2223,Ages of the Mediterranean
EU3212,Europe of the Dictators
EU3214,European Economic Integration
EU3217,European Literature I
EU3224,Social Thought & Social Theory
EU3227,Continental European Philosophy
EU3228,The EU and Asean in the World
EU3230,"Cold War in Europe, 1945-1991"
EU3232,The Single Market of the European Union
EU4214,Special Paper in Modern European History
EU4220,Topics in European Literature
EU4226,Imperialism and Empires
EU4227A,Major Political Thinkers: Plato & Rousseau
EU4227B,Major Political Thinkers: Machiavelli
EU4228,European Foreign Policy
FIN2004,Finance
FIN3101,Corporate Finance
FIN3102,Investment Analysis and Portfolio Management
FIN3103,Financial Markets
FIN3113,Financial Statement Analysis
FIN3115,International Financial Management
FIN3116,Options and Futures
FIN3117,Bank Management
FIN3118,Financial Risk Management
FIN3119,Risk and Insurance
FIN3120A,Topics in Finance: Fixed Income Securities
FIN3130,Financial Modelling
FIN3131,Fixed Income Securities
FIN4111,Research Methods in Finance
FIN4112D,SIF: Private Equity and Governance
FIN4112E,SIF: Personal Finance and Private Wealth Management
FIN4112F,SIF: Private Equity and Investment Banking
FIN4112G,Seminars in Finance: Private Equity
FIN4112H,Seminars in Finance: Investment Banking
FIN4112J,SIF: Security Analysis and Valuation
FIN4112K,SIF: Applied Portfolio Management Techniques
FIN4112L,SIF: Corporate Governance & Financial Policy
FIN4113,Personal Finance and Wealth Management
FMA1201B,FS: Chinatowns: History and Myth
FMA1201C,"FS: Sex, Gender and Media"
FMA1201D,FS: Contemporary Issues in Trade Policy
FMA1201G,FS: A Global Culture?
FMA1201H,FS : Australian Culture
FMA1201H,FS: Australian Culture
FMA1201J,Generations
FMA1201J,FS: Generations
FMA1201K,The Civilization of Islam in the Malay World
FMA1201L,FS: Crime and the Justification for Punishment
FMA1201M,Free To Be Me? Contesting Liberty and its Limits
FMA1201N,FS: Music on the Brain
FMA1201P,FS: Meanings and Leanings: Is There a Reason Why?
FMA1201Q,FS : Love Actually? The Social Construction of Romantic Love
FMA1201Q,FS: Love Actually? The Social Construction of Romantic Love
FMA1201S,FS: Thinking about the Supernatural in Southeast Asia
FMA1202C,FS: Social Media and Everyday Life
FMA1202F,FS: Heroism and Society
FMA1202H,FS : Humour
FMA1202M,FS: Popular Culture and Power
FMA1202Q,FS: Streetscapes in Singapore
FMA1203F,FS: Should Fiction Be Censored?
FMA1203M,FS: Globalization and Migration
FMA1204M,FS: Just and Unjust Wars
FMA1205M,FS: Authoritarianism
FMC1201,Freshman Seminar : Is Computer Science Science?
FMC1201,Freshman Seminar: Is Computer Science Science?
FMC1202,Freshman Sem : The Wonderfully Weird World of Software
FMC1202,Freshman Seminar: The Wonderfully Weird World of Software
FMC1203,Freshman Seminar: Computational Thinking
FMC1204,Freshman Seminar : Innovating Radically with IT
FMC1205,Freshman Seminar: Practical Information Security
FMD1201,Freshmen Seminar: Policies for Bdg Sustainable Cities
FMD1202,Freshman Seminar: Green Bdg Tech for Sustainable Cities
FMD1203,Freshmen Seminar: Real Estate Policy Issues
FMD1204,Freshmen Seminar: Urban Conservat'n & Sustainable Dev't
FME1201,FS: From Canvas to Engineering Drawing
FME1202,FS: Great Discoveries & Inventions in Sci & Engg
FME1204,Catalysis for Sustainable Chemical Technology
FME1205,Energy - How to return to sustainability?
FME1206,Towards a Smart and Sustainable City
FMS1201B,FS: Sustaining the Seas
FMS1201P,FS: Matter and Interaction
FMS1201S,FS: The Role of Statistics in Scientific Investigation
FMS1202B,FS: Stem Cell Gene Therapy & Cancer Treatment
FMS1202C,FS: The 5 S's of Molecules
FMS1202M,"FS: Mathematics in Science, Technology & Society"
FMS1202P,FS: Learning through Experiments
FMS1202S,FS: Randomness in Life
FMS1203B,FS: Exploring the Mysteries of Ageing
FMS1203C,FS: Chemistry by Computer
FMS1203M,FS: The Mathematics of Infinity
FMS1203P,FS: The Beauty of Symmetry
FMS1203S,FS: Randomness in Scientific Thinking
FMS1203S,Randomness in Scientific Thinking
FMS1204C,FS: Great Discoveries in Chemistry
FMS1204M,FS: Appreciation of Basic Results in Mathematics
FMS1204P,FS: Conceptual Development of Physics
FMS1204S,"Fraud, Deception and Data"
FMS1204S,"FS: Fraud, Deception and Data"
FMS1205B,FS: The 21st Century Natural Historian
FMS1205C,FS: Chemistry: From Magic to Modern Science
FMS1205M,FS: Analogy & Intuition in Mathematics
FMS1205P,FS: Nanoworld and Synchrotron Radiation
FMS1205S,"Junk science, good science, and statistics"
FMS1206B,FS: Genetic Engineering
FMS1206C,FS: Idols of the Mind
FMS1206C,Idols of the Mind
FMS1206M,FS: Is Mathematics Science?
FMS1206P,Energy Storage Devices - State of the Art
FMS1207B,FS: Conservation
FMS1207C,"Gemstones, Minerals and Rocks"
FMS1207M,Mathematics and Computer Science
FMS1207P,The scientific method and how it can fail
FMS1208B,FS: Understanding the Fundamentals of Biotechnology
FMS1208C,FS: Carbon Dioxide and Our Environment
FMS1208M,"FS: Space, Time and the Universe"
FMS1208P,Experimental Physics
FMS1209B,Plant Diseases and I
FMS1210B,From Genetic Engineering to Protein Engineering
FMS1211B,Protein materials - composition and property
FMS1212B,"Human 1.0: Are We Viral, Chimpanzee Or Neanderthal?"
FMS1213B,Common principles in embryogenesis and human diseases
FMS1214B,"Mysteries of Water, Salt and Life"
FMS1215B,Plant Pathogens that cause plants to end up in a bucket
FMS1216B,FS: Building beauty: what underlies flowers
FMS1217B,FS: Conundrums in conservation
FSA1201,Freshman Seminar
FSD1201,Policies for Building Sustainable Cities
FSE1201,FS: From Canvas to Engineering Drawing
FSE1202,Great discoveries & inventions in the Hist of Sci & Eng
FST1101,Science and Technology of Foods
FST2102,Chemistry of Food Components
FST2102A,Chemistry of Food Components
FST2106,Post Harvest Food Processing
FST2201,Introduction to Human Nutrition
FST3101,Food Enzymology & Fermentation
FST3101,Food Microbiology & Fermentation
FST3102,Food Safety Assurance
FST3103,Advanced Food Engineering
FST3104,"Food Sensory, Innovation and Packaging"
FST3202,Nutrition and Disease Prevention
FST3203,Vitamins & Minerals in Health & Diseases
FST4101,Flavour Science
FST4102,Advanced Food Processing Technology
FST4103,Food Colloids and Components Science
FST4201,Current Topics ( Food Science & Tech )
FST4202,Nutritional Biochemistry
FST5202,Advanced Food Fermentation
FST5203,Advanced Food Microbiology and Safety
FST5204,Evidence Based Functional Foods
GE1101E,"Place, Environment and Society"
GE2018,The Biophysical Environment of Singapore
GE2101,Methods and Practices in Geography
GE2202,Economy & Space
GE2204,Cities in Transition
GE2206,Population Analysis in Geography
GE2206,Geographies of Life and Death
GE2215,Introduction to GIS & Remote Sensing
GE2218,"Leisure, Recreation and Tourism"
GE2220,Terrestrial and Coastal Environments
GE2221,Nature and Society
GE2222,Politics and Space
GE2224,Geographies of Social Life
GE2225,Methods and Practices in Geography
GE2226,Southeast Asia
GE2227,Cartography and Visualisation
GE2228,Atmospheric Environments
GE2228,Weather and Climate
GE2229,Water and the Environment
GE3201,The Service Economy
GE3204,Cities and Regions: Planning for Change
GE3206,"Gender, Space & Place"
GE3210,Natural Resources: Policy and Practice
GE3216,Applications of GIS & Remote Sensing
GE3219,Globalisation and the Asian Cities
GE3221,Ecological Systems
GE3223,Environmental Change in the Tropics
GE3224,Cultural Landscapes
GE3226,Tourism Development
GE3228,Geographies of Business Organisations
GE3231,Natural Hazards
GE3235,Geographies of Development
GE3237,Geographies of Migration
GE3238,GIS Design and Practices
GE3239,Environmental Sustainability
GE3240,Geographical Research: Developing Ideas
GE3241,Geographies of Social Life
GE3880A,Topics in Petroleum Geoscience
GE4101A,Development of Geographic Thought A
GE4101B,Development of Geographic Thought B
GE4202,Remaking the Global Economy
GE4203,International Transport Systems
GE4204,Urban Space:Critical Perspectives
GE4207,Coastal Management
GE4211,Catchment Processes & Management
GE4212,Environmental Modelling
GE4213,Cultural Analysis
GE4217,Political Geography: State/Space
GE4217,Political Geographies: Space and Power
GE4218,Interpreting Tourism Spaces and Cultures
GE4219,Eco Development in Southeast Asia
GE4880,Topics in Geography III
GEK1000,An Introduction to Literary Studies
GEK1001,"Place, Environment and Society"
GEK1002,Introduction to Japanese Studies
GEK1003,Introduction to Politics
GEK1005,Cultures in the Contemporary World
GEK1006,Dynamics of Interpersonal Effectiveness
GEK1007,Chinese Heritage: History and Literature
GEK1008,Southeast Asia: A Changing Region
GEK1010T,Property Management
GEK1011,The Nature of Language
GEK1012,Contemporary Social Issues in Singapore
GEK1016,History & Theory Of Modern Architecture
GEK1018,Economic Issues in the Developing World
GEK1021,Crime Fiction in English & Chinese
GEK1022,Geopolitics:Geographies of War & Peace
GEK1025,Reading Visual Images
GEK1029T,Managing Change: Power & Paradox
GEK1035,Nations & Nationalisms in South Asia
GEK1036,Cross-Cultural Communication & Discourse
GEK1041,Understanding Globalisation
GEK1045,Introduction to World Religions
GEK1046,Introduction to Cultural Studies
GEK1047,Organisational Power And Culture
GEK1049,Introduction to Narrative
GEK1050,Space And Health
GEK1052,Community Service and Social Action
GEK1053,"Chinese Music, Language and Literature"
GEK1053,"Chinese Music, Language and Literature (taught in English)"
GEK1054,Music in the Global Context
GEK1055,The Theatre Experience
GEK1056,The Visual Image Around the World
GEK1058,Language and the Preservation of Culture
GEK1059,Investigating Standard English
GEK1060,Introduction to Modern English Grammar
GEK1061,Emergent Media & Multimodal Communications
GEK1500,Inside Your Personal Computer
GEK1501,Information Technology And Us
GEK1502,Food: Security and Safety
GEK1505,Living with Mathematics
GEK1506,Heavenly Mathematics: Cultural Astronomy
GEK1507,Complementary Medicine and Health
GEK1508,Einstein's Universe & Quantum Weirdness
GEK1509,Introduction to the Nanoworld
GEK1510,Great Ideas in Contemporary Physics
GEK1511,Introduction to Computing
GEK1512,Understanding How The Internet Works
GEK1513,"Wireless Communications - Past, Present And Future"
GEK1514,Microelectronics Revolution - From Sand To IC
GEK1515,Environmental Biology
GEK1517,Mathematical Thinking
GEK1519,Science of Music
GEK1520,Understanding the Universe
GEK1521,Physics in the Life Sciences
GEK1522,Global Environmental Issues
GEK1522T,Global Environmental Issues
GEK1523,Innovativeness In Engineering Design
GEK1523T,Innovativeness In Engineering Design
GEK1524,Living With Fluids
GEK1525,Evaluating Claims Related to Health
GEK1527,Genes & Society
GEK1527,Genes and Society
GEK1529,Food & Health
GEK1530,Life as a Complex System
GEK1531,Introduction to Cybercrime
GEK1532,Color & Vision: A Look at Biophysics
GEK1534,Microbes which Changed Human History
GEK1535,Our Atmosphere: A Chemical Perspective
GEK1537,The Search for Life on Other Worlds
GEK1538,Plants and Society
GEK1538,"Plants, Fungi and Human Society"
GEK1539,A Brief History of Science
GEK1540,Modern Technology in Medicine and Health
GEK1541,Reproductive Health: What One Must Know
GEK1542,Forensic Science
GEK1543,Chemistry of the Ocean
GEK1544,The Mathematics of Games
GEK1545,An Insight into Reproductive Health
GEK2000,The U.S.: From Settlement to Superpower
GEK2001,Changing Landscapes of Singapore
GEK2002,Art & Philosophy
GEK2003,Government and Politics of Singapore
GEK2005,Introduction to Urban Planning
GEK2008,Environmental History
GEK2009,Democracy & Education
GEK2010,Foreign Policy and Diplomacy
GEK2012,Public Administration in Asia
GEK2013,Real Estate Finance
GEK2015,East-West Artistic Interactions
GEK2020,Introduction to Film Art
GEK2022,"Samurai, Geisha, Yakuza as Self or Other"
GEK2024,Political Ideologies
GEK2025,Politics of the Middle East
GEK2027,Introduction to Indian Thought
GEK2028,Founders of Modern Philosophy
GEK2030,Introduction to Continental Philosophy
GEK2032,Computerisation and Ethics
GEK2033,Business Ethics
GEK2035,Medical Ethics
GEK2036,Greek Philosophy (Socrates and Plato)
GEK2037,Introduction to the Philosophy of Technology
GEK2038,Classical Chinese Philosophy I
GEK2039,Chinese Philosophical Traditions I
GEK2040,Philosophy and Film
GEK2041,Science Fiction and Philosophy
GEK2042,Cultural Borrowing: Japan and China
GEK2043,Politics on Screen
GEK2044,Reading Visual Images
GEK2045,History & Theory Of Modern Architecture
GEK2500,Living with Chemistry
GEK2501,Understanding your Medications
GEK2503,Remote Sensing for Earth Observation
GEK2506,Drugs and Society
GEK2507,Computational Methods for Basic Finance
GEK3001,International Political Economy
GEK3005,Politics and the Visual
GEK3006,Human Rights in International Politics
GEM1003,INTRODUCTION TO THEATRE AND DRAMA
GEM1004,Reason and Persuasion
GEM1008,Evaluating Academic Arguments
GEM1023,Living Amidst Outbreaks
GEM1029,Patrons of the Arts
GEM1030,Art and Identity
GEM1031,The Study of Names
GEM1033,Religion and Film
GEM1034,Jr Sem: The Crusades in History
GEM1501,Problem Solving for Computing
GEM1505A,Engineering by Design ?C Conservation Devices & Systems
GEM1505A,Innovations in Conservation Devices & Systems
GEM1505B,Innovations in Electrical & Electronic Systems
GEM1505B,Engineering by Design ? Innovations in Electrical & Electronic Systems
GEM1505C,Natural Forms and Conceptual Design of Structures
GEM1505D,Biomimetic Principles in Engineering Design
GEM1535,Clean Energy and Storage
GEM1536,Darwin and Evolution
GEM1901,Active Ageing in Singapore
GEM1902A,Junior Seminar: Culture and Cognition
GEM1902D,Junior Seminar: Images
GEM1902E,Junior Seminar: Social Innovation
GEM1902G,Junior Seminar: Proof: What?s Truth got to do with it?
GEM1904,Jr Sem: Hidden Communities
GEM1905,Jr Sem: Power and Ideas
GEM1906,Jr Sem: Understanding Health Behaviour
GEM1907,"Jr Sem: IP, Innovation & Society"
GEM1912A,Jr Sem Special Topics: Humanising Technology
GEM2000,Foundations Of Real Estate Appraisal
GEM2000,Foundations of Estate Appraisal
GEM2001,Introduction to Asian Theatre
GEM2003,"Why History? The 20th Century, 1914-1989"
GEM2005,Film and History
GEM2006,Logic
GEM2021,Technology and Artistic Innovators
GEM2022,The Art of Rituals and Recreation
GEM2023,Primary Health Care
GEM2025,Introduction to Philosophy Of Science
GEM2026,Film Genres: Stars and Styles
GEM2501,Electric Energy - Powering The New Millenium
GEM2502,Modes Of Invention
GEM2505,Taming Chaos
GEM2507,Physical Questions from Everyday Life
GEM2509,Data Quality and Fuzzy Logic
GEM2900,Understand'g Uncertainty & Stats Think'g
GEM2901,Reporting Statistics in the Media
GEM2902,Climate Change
GEM2903,Community Leadership
GL1101E,Global Issues
HR2002,Human Capital in Organizations
HY1101E,Asia and the Modern World
HY2206,China's Imperial Past: History & Culture
HY2207,"Struggle for Modern China, 1800-1949"
HY2208,Pre-Modern Japan: History and Culture
HY2210,State & Society in Early-Modern Europe
HY2216,"Total War, 1815-1945"
HY2217,Warfare after 1945
HY2220,Korea in the Twentieth Century
HY2225,East-West Artistic Interactions
HY2229,Nation-Building in Singapore
HY2231,Upheaval in Europe: 1848-1918
HY2232,From Samurai to Sony: History of Japan
HY2234,Buddhism in Southeast Asian History
HY2235,Environmental History
HY2236,US Media in the 20th Century & Beyond
HY2237,The U.S.: From Settlement to Superpower
HY2239,Chinese Businesses in Singapore & Beyond
HY2241,"Why History? The 20th Century, 1914-1989"
HY2242,Singapore's Military History
HY2243,Film and History
HY2245,"Empires, Colonies and Imperialism"
HY2246,Introduction to World History
HY2247,Sport and History
HY2248,Asian American History
HY2249,Art and History
HY2250,Introduction to Southeast Asian History
HY2251,From the Wheel to the Web
HY2253,Christianity in World History
HY2254,Popular Culture in Singapore
HY2255,Islam in World History
HY2256,Ages of the Mediterranean
HY2258,Passage to India: Modern Indian Society
HY2259,The Craft of History
HY3201,"Indonesia: History, Economy and Society"
HY3204,Southeast Asia: Decolonization & After
HY3205,Society & Economy in Late Imperial China
HY3206,East Asian International Relations
HY3209,"Cold War in Europe, 1945-1991"
HY3223,Technology and Culture in the Asia-Pacific
HY3225,Minorities in Southeast Asia
HY3226,"Memory, Heritage & History"
HY3227,Europe of the Dictators
HY3231,History of the Malay World
HY3236,"The Struggle for India, 1920-1964"
HY3238,The Political History of the US
HY3239,The United States in the Asia-Pacific
HY3240,Making America Modern
HY3241,Religion in the History of China & Japan
HY3243,China and Southeast Asia: Past & Present
HY3244,Asian Business: History and Networks
HY3245,Engendering History/Historicising Gender
HY3246,History of Muslim Southeast Asia
HY3247,From Monarchy to Military: History of Myanmar
HY3248,"People's Republic of China, 1949-1989"
HY3249,The Making of Modern Malaysia
HY3250,Approaches to Singapore History
HY3251,India?s Pursuit of Prosperity
HY3252,From Tropical Medicine to Bioscience
HY3254,Cold War in East Asia
HY3255,Topics in Mediterranean History
HY3256,Brides of the Sea: Asia's Port Cities
HY3880A,History in Fiction: Colonial S.E.Asia
HY4101,Historiography and Historical Method
HY4205,War and Diplomacy in Early Modern Europe
HY4207,Special Paper in Military History
HY4209,Imperialism and Empires
HY4210,Issues and Events in Malaysian History
HY4212,Special Paper in Modern European History
HY4214,Approaches to Chinese History
HY4215,The Classical Empires of Southeast Asia
HY4216,Culture and Literature in S.E.A. History
HY4217,Approaches to Study of SE Asian History
HY4218,The Rise of Modern Japan
HY4218,Approaches to Modern Japanese History
HY4219,American Intellectual History
HY4222,Asian Business History: Case Studies
HY4223,Chinese Overseas: Sojourners & Settlers
HY4225,Ideological Origins of US Foreign Policy
HY4227,Sources of Singaporean History
HY4880A,Japanese Diaspora
HY4880B,Student Movements in Asia Since 1950
ID1103,Basic Design & Communication I
ID1104,Basic Design & Communication II
ID1105,Design Fundamentals 1
ID1111,Modelling For Industrial Design
ID1112,Modelling and Sketching for Design
ID1121,Human Factors In Design
ID1223,History & Theory Of Industrial Design
ID1321,Materials For Industrial Design
ID2103,Design For Context
ID2104,Design For Connectivity
ID2105,Design for Context and Sustainability
ID2111,Computer Aided Industrial Design
ID2121,Design In The Urban Setting
ID2122,Ecodesign And Sustainability
ID2123,Design Process & Research
ID2321,Design For Production-Metals
ID2322,Design For Production-Plastics
ID2323,Technology for Design
ID3103,Design For Interior Environments
ID3104,Design For Culture & Identity
ID3105,Design Platforms 2
ID3121,Design Case Study
ID3122,Design Inventions & Innovations
ID3122,Innovation and Design
ID4103,Design Detailing
ID4104,Design Thesis Project
ID4121,Project Research
IE2010E,Introduction to Industrial System
IE2100E,Probability Models with Applications
IE2105,Fundamentals in Systems Engineering
IE2110,Operations Research I
IE2110E,Operations Research
IE2110E,Operations Research I
IE2120E,Probability and Statistics
IE2130,Quality Engineering I
IE2130E,Quality Engineering I
IE2140,Engineering Economy
IE2140E,Engineering Economy
IE2150E,Human Factors Engineering
IE3010E,Systems Thinking and Design
IE3100E,Systems Design Project
IE3101,Statistics For Engineering Applications
IE3101E,Statistics for Engineering Applications
IE3110E,Simulation
IE3120,Manufacturing Logistics
IE4100E,BTech Dissertation
IE4210,Operations Research II
IE4220,Supply Chain Modelling
IE4220E,Supply Chain Modelling
IE4230,Quality Engineering II
IE4230E,Quality Engineering II
IE4240,Project Management
IE4240E,Project Management
IE4244,"Energy: Security, Competitiveness and Sustainability"
IE4251,Process Analysis and Redesign
IE4299E,Selected Topics in Industrial Engineering
IE5108,Facility Layout And Location
IE5121,Quality Planning And Management
IE5203,Decision Analysis
IE5301,Human Factors In Engineering And Design
IEM1201B,Models of Press Freedom
IEM1201E,"From Human to ""Posthuman"""
IEM1201F,Asia & Hollywood
IEM1201G,Language and Migration
IEM1201H,Eating Right(s): The Politics of Food
IEM1201K,Photography and Society
IEM2201B,The narrative structure of news
IEM2201D,Writing in a Digital World
IEM2201F,Emergent Media
IEM2201J,"Blood, Death and Desire, Interpreting the Vampire"
IS1103,Computing and Society
IS1105,Strategic IT Applications
IS1112,E-Business Essentials
IS2101,Business And Technical Communication
IS2102,Requirements Analysis and Design
IS2103,Enterprise Systems Development Concepts
IS2104,Software Team Dynamics
IS2150,E-Business Design and Implementation
IS3101,Management of Information Systems
IS3102,Enterprise Systems Development Project
IS3150,Digital & New Media Marketing
IS3150,Digital and New Media Marketing
IS3220,Service Science
IS3221,Enterprise Resource Planning Systems
IS3222,IT and Customer Relationship Management
IS3223,IT and Supply Chain Management
IS3230,Principles of Information Security
IS3240,Economics of E-Business
IS3241,Enterprise Social Systems
IS3242,Software Quality Management
IS3243,Technology Strategy and Management
IS3250,Health Informatics
IS4100,IT Project Management
IS4102,E-Business Capstone Project
IS4150,Mobile and Ubiquitous Commerce
IS4203,IT Adoption and Change Management
IS4224,Service Systems
IS4225,Strategic IS Planning
IS4226,IT Outsourcing and Offshoring Management
IS4227,Enterprise Service-Oriented Architecture
IS4231,Information Security Management
IS4232,Topics in Information Security Management
IS4233,Legal Aspects of Information Technology
IS4234,Control and Audit of Information Systems
IS4240,Business Intelligence Systems
IS4241,Social Media Network Analysis
IS4243,Information Systems Consulting
IS4250,Healthcare Analytics
IS4260,E-Commerce Business Models
IT1001,Introduction to Computing
IT1002,Introduction to Programming
IT1003,Information Systems Applications
IT1004,Introduction to Electronic Commerce
IT1005,Introduction to Programming with Matlab
IT1006,MATLAB Programming for Mathematics
IT1801,Programming for Business
IT2001,Network Technology and Applications
IT2002,Database Technology and Management
JS1101E,Introduction to Japanese Studies
JS2101,Approaches to Japanese Studies
JS2101,Approaches to Japanese Studies I
JS2203,"Sound, Grammar and Meaning"
JS2213,Popular Culture in Contemporary Japan
JS2214,Ideas and Images in Japanese Culture
JS2216,Postwar Japanese Film and Anime
JS2222,Japanese Society and Social Institutions
JS2224,Japan and Singapore
JS2225,Marketing and Consumer Culture in Japan
JS2226,Global City Tokyo
JS2227,Japan and China: Rivals and Partners
JS2228,Gender and Sexuality in Japan
JS2230,Itadakimasu - Food In Japan
JS3101,Approaches to Japanese Studies II
JS3208,Approaches to Japanese Linguistics
JS3210,Japan in the Twentieth Century
JS3211,Modern Japanese Religion
JS3213,Alternative Lives in Contemporary Japan
JS3214,Japanese Philosophy and Thought
JS3216,Japanese Film and Literature
JS3222,Japanese Business Management
JS3223,Japan and the Asia-Pacific Region
JS3225,Japanese Mass Media
JS3226,Japan: The Green Nation?
JS3227,Entrepreneurship : Self-Made in Japan
JS3230,Men and Women in Modern Japanese Literature
JS4101,Research and Writing in Japanese Studies
JS4207,Readings in Modern Japanese
JS4209,Selected Topics in Japanese Linguistics
JS4213,Approaches to Modern Japanese History
JS4214,"Ideas, Values and Identity in Japan"
JS4216,Tales and Performance in Premodern Japan
JS4217,Selected Topics in Japanese Studies
JS4221,Research and Writing in Japanese Studies
JS4224,Japanese International Relations
JS4225,Social Dynamics in Modern Japan
JS4226,"Japanese Law, Society and Public Policy"
JS4227,Japanese Political Economy
JS4228,Japanese Cities in the Global Economy
JS4230,Advanced Readings in Popular Culture
LA3201,Introduction to the History of Landscape
LA4201,Theory of Modern Landscape Architecture
LA4202,Planting Design
LA4212,Tropical Plant Identification 2
LA4301,Materials and Techniques
LA4301,Material and Design
LA4701,Landscape Design Studio 1
LA4701,Landscape Design Studio 4a
LA4701,MLA Studio: Quarter
LA4702,Landscape Design Studio 4b
LA4702,MLA Studio: City
LA5222,Urban Ecology and Design
LAB1201,Bahasa Indonesia 1
LAB2201,Bahasa Indonesia 2
LAB3201,Bahasa Indonesia 3
LAB3202,Bahasa Indonesia 4
LAB4201,Bahasa Indonesia 5
LAB4202,Bahasa Indonesia 6
LAC1201,Chinese 1
LAC2201,Chinese 2
LAC2202,Chinese Characters Writing & Composition
LAC3201,Chinese 3
LAC3202,Chinese 4
LAC3203,Chinese for Science and Technology
LAC3204,Chinese for Business & Social Sciences
LAC4201,Chinese 5
LAC4202,Chinese 6
LAF1201,French 1
LAF2201,French 2
LAF3201,French 3
LAF3202,French 4
LAF4201,French 5
LAF4202,French 6
LAG1201,German 1
LAG2201,German 2
LAG3201,German 3
LAG3202,German 4
LAG4201,German 5
LAG4202,German 6
LAH1201,Hindi 1
LAH2201,Hindi 2
LAH3201,Hindi 3
LAJ1201,Japanese 1
LAJ2201,Japanese 2
LAJ2202,Japanese 3
LAJ2203,Japanese 4
LAJ3201,Japanese 5
LAJ3202,Japanese 6
LAJ3203,Business Japanese 1
LAJ3205,Media Japanese
LAJ4203,Newspaper Reading
LAK1201,Korean 1
LAK2201,Korean 2
LAK3201,Korean 3
LAK3202,Korean 4
LAK4201,Korean 5
LAK4202,Korean 6
LAL1201,Tamil 1
